Date & time,Operational demand (original),Operational demand (adjusted),Hydropower,Biomass,Solar photovoltaics,Wind,StormPower,PHES-power,Energy deficit,Energy spillage,PHES-Charge,PHES-Storage,StormPowerLoss,StormDeficit,StormStorage,StormPHES-power,StormPHES-Charge,StormSpillage,FNQ-QLD,NSW-QLD,NSW-SA,NSW-VIC,NT-SA,SA-WA,TAS-VIC
Thu -24 May 2029 08:00,17697.0,17697.0,2419.0,129.0,25305.0,3716.0,3671.0,0.0,0.0,0.0,-13871.0,506858.0,45.0,0.0,506858.0,0.0,-13871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 08:30,17292.0,17292.0,2419.0,129.0,28636.0,3527.0,3491.0,0.0,0.0,0.0,-17420.0,513826.0,37.0,0.0,513826.0,0.0,-17420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 09:00,15312.0,15312.0,2419.0,98.0,28636.0,3527.0,3491.0,0.0,0.0,0.0,-19369.0,521574.0,37.0,0.0,521574.0,0.0,-19369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 09:30,14151.0,14151.0,2419.0,129.0,28099.0,2721.0,2693.0,0.0,0.0,0.0,-19217.0,529260.0,29.0,0.0,529260.0,0.0,-19217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 10:00,13436.0,13436.0,1992.0,0.0,28099.0,2721.0,2693.0,0.0,0.0,0.0,-19377.0,537011.0,29.0,0.0,537011.0,0.0,-19377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 10:30,12659.0,12659.0,1335.0,0.0,28318.0,2395.0,2379.0,0.0,0.0,-9208.0,-10182.0,541084.0,16.0,0.0,541084.0,0.0,-10182.0,-9208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 11:00,12901.0,12901.0,1578.0,0.0,28318.0,2395.0,2379.0,0.0,0.0,-19389.0,-0.0,541084.0,16.0,0.0,541084.0,0.0,-0.0,-19389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 11:30,12562.0,12562.0,2419.0,129.0,24022.0,2809.0,2784.0,0.0,0.0,-16818.0,-0.0,541084.0,25.0,0.0,541084.0,0.0,-0.0,-16818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 12:00,12985.0,12985.0,2419.0,129.0,24022.0,2809.0,2784.0,0.0,0.0,-16395.0,-0.0,541084.0,25.0,0.0,541084.0,0.0,-0.0,-16395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 12:30,12865.0,12865.0,2419.0,129.0,10743.0,3797.0,3753.0,0.0,0.0,-4223.0,-0.0,541084.0,45.0,0.0,541084.0,0.0,-0.0,-4223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 13:00,13306.0,13306.0,2419.0,129.0,10743.0,3797.0,3753.0,0.0,0.0,-3782.0,-0.0,541084.0,45.0,0.0,541084.0,0.0,-0.0,-3782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 13:30,13245.0,13245.0,2419.0,129.0,14276.0,3690.0,3640.0,0.0,0.0,-7270.0,-0.0,541084.0,50.0,0.0,541084.0,0.0,-0.0,-7270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 14:00,14497.0,14497.0,2419.0,129.0,14276.0,1077.0,1056.0,0.0,0.0,-3404.0,-0.0,541084.0,21.0,0.0,541084.0,0.0,-0.0,-3404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 14:30,15313.0,15313.0,2419.0,129.0,16618.0,1326.0,1299.0,0.0,0.0,-5180.0,-0.0,541084.0,27.0,0.0,541084.0,0.0,-0.0,-5180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 15:00,16618.0,16618.0,2419.0,129.0,16618.0,1326.0,1299.0,0.0,0.0,-3875.0,-0.0,541084.0,27.0,0.0,541084.0,0.0,-0.0,-3875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 15:30,17490.0,17490.0,2419.0,129.0,1956.0,1283.0,1257.0,11703.0,0.0,0.0,-0.0,535233.0,26.0,0.0,535233.0,11703.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 16:00,18061.0,18061.0,2419.0,129.0,1956.0,1283.0,1257.0,12273.0,0.0,0.0,-0.0,529096.0,26.0,0.0,529096.0,12273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu -24 May 2029 16:30,17988.0,17988.0,2419.0,129.0,0.0,1949.0,1909.0,13491.0,0.0,0.0,-0.0,522351.0,40.0,0.0,522351.0,13491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
